 INFO - 2023-02-14 01:48:28,026 - mongo - MongoDB connection closed
 INFO - 2023-02-14 01:48:28,027 - on - Application shutdown complete.
 INFO - 2023-02-14 01:48:28,027 - server - Finished server process [42117]
 INFO - 2023-02-14 01:48:28,336 - server - Started server process [42127]
 INFO - 2023-02-14 01:48:28,336 - on - Waiting for application startup.
 INFO - 2023-02-14 01:48:28,336 - main - db connection startup
 INFO - 2023-02-14 01:48:28,390 - mongo - Connected to MongoDB -  DEV environment!
 INFO - 2023-02-14 01:48:28,390 - on - Application startup complete.
 INFO - 2023-02-14 01:49:44,670 - server - Shutting down
 INFO - 2023-02-14 01:49:44,771 - on - Waiting for application shutdown.
 INFO - 2023-02-14 01:49:44,772 - main - db connection stutdown
 INFO - 2023-02-14 01:49:44,772 - mongo - Closing connection to MongoDB
 INFO - 2023-02-14 01:49:44,772 - mongo - MongoDB connection closed
 INFO - 2023-02-14 01:49:44,772 - on - Application shutdown complete.
 INFO - 2023-02-14 01:49:44,772 - server - Finished server process [42127]
 INFO - 2023-02-14 01:49:45,070 - server - Started server process [42159]
 INFO - 2023-02-14 01:49:45,070 - on - Waiting for application startup.
 INFO - 2023-02-14 01:49:45,075 - main - db connection startup
 INFO - 2023-02-14 01:49:45,173 - mongo - Connected to MongoDB -  DEV environment!
 INFO - 2023-02-14 01:49:45,173 - on - Application startup complete.
 INFO - 2023-02-14 02:02:54,187 - server - Shutting down
 INFO - 2023-02-14 02:02:54,288 - on - Waiting for application shutdown.
 INFO - 2023-02-14 02:02:54,289 - main - db connection stutdown
 INFO - 2023-02-14 02:02:54,289 - mongo - Closing connection to MongoDB
 INFO - 2023-02-14 02:02:54,289 - mongo - MongoDB connection closed
 INFO - 2023-02-14 02:02:54,289 - on - Application shutdown complete.
 INFO - 2023-02-14 02:02:54,289 - server - Finished server process [42159]
 INFO - 2023-02-14 02:02:54,594 - server - Started server process [42277]
 INFO - 2023-02-14 02:02:54,594 - on - Waiting for application startup.
 INFO - 2023-02-14 02:02:54,594 - main - db connection startup
 INFO - 2023-02-14 02:02:54,720 - mongo - Connected to MongoDB -  DEV environment!
 INFO - 2023-02-14 02:02:54,725 - on - Application startup complete.
 INFO - 2023-02-14 02:03:58,619 - server - Shutting down
 INFO - 2023-02-14 02:03:58,720 - on - Waiting for application shutdown.
 INFO - 2023-02-14 02:03:58,721 - main - db connection stutdown
 INFO - 2023-02-14 02:03:58,721 - mongo - Closing connection to MongoDB
 INFO - 2023-02-14 02:03:58,721 - mongo - MongoDB connection closed
 INFO - 2023-02-14 02:03:58,721 - on - Application shutdown complete.
 INFO - 2023-02-14 02:03:58,721 - server - Finished server process [42277]
 INFO - 2023-02-14 02:03:59,022 - server - Started server process [42298]
 INFO - 2023-02-14 02:03:59,022 - on - Waiting for application startup.
 INFO - 2023-02-14 02:03:59,022 - main - db connection startup
 INFO - 2023-02-14 02:03:59,123 - mongo - Connected to MongoDB -  DEV environment!
 INFO - 2023-02-14 02:03:59,123 - on - Application startup complete.
 INFO - 2023-02-14 02:04:07,113 - server - Shutting down
 INFO - 2023-02-14 02:04:07,215 - on - Waiting for application shutdown.
 INFO - 2023-02-14 02:04:07,215 - main - db connection stutdown
 INFO - 2023-02-14 02:04:07,215 - mongo - Closing connection to MongoDB
 INFO - 2023-02-14 02:04:07,215 - mongo - MongoDB connection closed
 INFO - 2023-02-14 02:04:07,215 - on - Application shutdown complete.
 INFO - 2023-02-14 02:04:07,216 - server - Finished server process [42298]
 INFO - 2023-02-14 02:04:07,488 - server - Started server process [42303]
 INFO - 2023-02-14 02:04:07,488 - on - Waiting for application startup.
 INFO - 2023-02-14 02:04:07,489 - main - db connection startup
 INFO - 2023-02-14 02:04:07,534 - mongo - Connected to MongoDB -  DEV environment!
 INFO - 2023-02-14 02:04:07,534 - on - Application startup complete.
 INFO - 2023-02-14 02:05:13,670 - server - Shutting down
 INFO - 2023-02-14 02:05:13,771 - on - Waiting for application shutdown.
 INFO - 2023-02-14 02:05:13,771 - main - db connection stutdown
 INFO - 2023-02-14 02:05:13,771 - mongo - Closing connection to MongoDB
 INFO - 2023-02-14 02:05:13,772 - mongo - MongoDB connection closed
 INFO - 2023-02-14 02:05:13,772 - on - Application shutdown complete.
 INFO - 2023-02-14 02:05:13,772 - server - Finished server process [42303]
 INFO - 2023-02-14 02:05:14,044 - server - Started server process [42317]
 INFO - 2023-02-14 02:05:14,044 - on - Waiting for application startup.
